Verdoving;;
Code;Prestaties;Tarief
A10;Geleidings-, infiltratie- en/of intraligamentaire verdoving;€ 15,43
A15;Oppervlakte verdoving;€ 8,02
A20;Behandeling onder algehele anesthesie of sedatie;€kostprijs
A30;Voorbereiding behandeling onder algehele anesthesie;€ 49,38
Verdoving door middel van een roesje;;
Code;Prestaties;Tarief
B10;Introductie roesje (lachgassedatie);€ 30,86
B11;Toediening roesje (lachgassedatie);€ 30,86
B12;Overheadkosten roesje (lachgassedatie);€ 38,04
Consultatie en Diagnostiek;;
Code;Prestaties;Tarief
C001;Consult ten behoeve van een intake;€ 46,91
C002;Consult voor een periodieke controle;€ 23,45
C003;Consult, niet zijnde periodieke controle;€ 23,45
C010;Aanvullende medische anamnese na (schriftelijke) routinevragen;€ 23,45
C011;Uitgebreid onderzoek ten behoeve van een second opinion;€ 111,10
C012;Uitgebreid onderzoek ten behoeve van het integrale behandelplan;€ 111,10
C013 *;Studiemodellen;€ 30,86
C014;Pocketregistratie;€ 37,03
C015;Parodontiumregistratie;€ 74,07
C020;Mondzorg aan huis;€ 18,52
C021;Toeslag avond, nacht en weekend uren (anw-uren);€ 25,92
Wortelkanaalbehandelingen;;
Code;Prestaties;Tarief
E02;Uitgebreid wortelkanaalbehandeling consult;€ 43,21
E03;Consult na tandheelkundig ongeval;€ 33,95
E60*;Geheel of gedeeltelijk weghalen van pulpaweefsel;€ 49,38
E04;Toeslag voor kosten bij gebruik van roterende nikkel-titanium instrumenten;€ 49,71
E13;Wortelkanaalbehandeling per element met 1 kanaal;€ 111,10
E14;Wortelkanaalbehandeling per element met 2 kanalen;€ 160,48
E16;Wortelkanaalbehandeling per element met 3 kanalen;€ 209,86
E17;Wortelkanaalbehandeling per element met 4 of meer kanalen;€ 259,24
E85;Elektronische lengtebepaling;€ 15,43
E19;Insluiten calciumhydroxide of daarmee vergelijkbare desinfectans per element, per zitting;€ 18,52
E66;Wortelkanaalbehandeling van melkelement;€ 49,38
E51;Verwijderen van kroon of brug;€ 37,03
E52;Moeilijke wortelkanaalopening;€ 30,86
E53;Verwijderen van wortelstift;€ 43,21
E54;Verwijderen van wortelkanaalvulmateriaal;€ 30,86
E55;Behandeling dichtgeslibd of verkalkt wortelkanaal;€ 30,86
E56*;Voortgezette behandeling bij weefselschade van de tandwortel;€ 43,21
E57;Behandeling van element met uitzonderlijke anatomie;€ 30,86
E61;Behandelen van open wortelpunt met calciumhydroxide, eerste zitting;€ 86,41
E62;Behandelen van open wortelpunt met calciumhydroxide, elke volgende zitting;€ 55,55
E63*;Toeslag voor afsluiting met Mineral Trioxide Aggregate (MTA) of een vergelijkbaar biokeramisch materiaal;€ 46,29
E64;Afsluiting van open wortelpunt;€ 49,38
E77;Initiële wortelkanaalbehandeling, eerste kanaal;€ 61,72
E78;Initiële wortelkanaalbehandeling, elk volgend kanaal;€ 30,86
E90;Inwendig bleken, eerste zitting;€ 49,38
E95;Inwendig bleken, elke volgende zitting;€ 18,52
E97*;Uitwendig bleken per kaak;€ 77,15
E40;Directe pulpa-overkapping;€ 30,86
E42;Terugzetten van een verplaatst element na tandheelkundig ongeval;€ 12,34
E43*;Vastzetten element d.m.v. een spalk na tandheelkundig ongeval;€ 24,69
E44;Verwijderen spalk, per element;€ 6,17
E45;Aanbrengen rubberdam;€ 12,34
E31;Snij-/ hoektand;€ 123,45
E32;Premolaar;€ 172,83
E33;Molaar;€ 222,20
E34*;Aanbrengen retrograde vulling;€ 24,69
E36*;Het trekken van een element met re-implantatie;€ 86,41
E37;Kijkoperatie;€ 74,07
E88;Opvullen van de pulpakamer en afsluiten van de kanaalingangen;€ 61,72
E86;Gebruik operatiemicroscoop bij wortelkanaalbehandeling;€ 83,33
E87;Gebruiksklaar maken van praktijkruimte voor wortelkanaalbehandeling;€ 61,72
Consultatie en diagnostiek;;
Code;Prestaties;Tarief
F121;Eerste consult;€ 23,45
F122;Herhaalconsult;€ 23,45
F123;Controlebezoek;€ 14,65
F124;Second opinion;€ 111,10
F125*;Maken gebitsmodellen;€ 17,93
F126;Beoordelen gebitsmodellen inclusief bespreken behandelplan;€ 64,74
Behandelingen kauwstelsel;;
Code;Prestaties;Tarief
